Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
26/07/2023,"735,000.00","735,000.00","735,000.00","735,000.00",0.12K,-0.68%
25/07/2023,"740,000.00","735,000.00","740,000.00","731,000.00",1.60K,0.14%
24/07/2023,"739,000.00","740,000.00","741,000.00","737,000.00",0.62K,0.96%
20/07/2023,"732,000.00","745,000.00","745,000.00","732,000.00",0.50K,0.14%
19/07/2023,"731,000.00","731,000.00","731,000.00","731,000.00",0.13K,-0.54%
18/07/2023,"735,000.00","726,400.00","735,000.00","726,400.00",0.90K,3.52%
17/07/2023,"710,000.00","741,000.00","741,000.00","700,000.00",1.40K,-3.92%
14/07/2023,"739,000.00","740,000.00","740,000.00","739,000.00",0.20K,-0.40%
13/07/2023,"742,000.00","740,000.00","744,000.00","739,000.00",1.46K,0.27%
12/7/2023,"740,000.00","731,000.00","750,000.00","730,000.00",1.30K,2.35%
11/7/2023,"723,000.00","723,000.00","723,000.00","723,000.00",0.10K,-2.30%
7/7/2023,"740,000.00","745,000.00","750,000.00","740,000.00",3.08K,1.37%
5/7/2023,"730,000.00","735,000.00","735,000.00","730,000.00",0.60K,-2.54%
4/7/2023,"749,000.00","740,000.00","765,000.00","740,000.00",1.80K,2.60%
3/7/2023,"730,000.00","721,000.00","730,000.00","721,000.00",0.40K,1.39%
30/06/2023,"720,000.00","715,000.00","720,000.00","715,000.00",0.37K,2.86%
28/06/2023,"700,000.00","730,000.00","730,000.00","700,000.00",0.42K,-3.58%
27/06/2023,"726,000.00","730,000.00","730,000.00","726,000.00",0.20K,-0.55%
26/06/2023,"730,000.00","730,000.00","730,000.00","730,000.00",0.33K,-1.35%
23/06/2023,"740,000.00","749,000.00","750,000.00","740,000.00",1.81K,1.37%
22/06/2023,"730,000.00","730,000.00","740,000.00","725,000.00",0.84K,0.00%
21/06/2023,"730,000.00","730,000.00","730,000.00","730,000.00",0.33K,-0.68%
20/06/2023,"735,000.00","740,000.00","740,000.00","735,000.00",0.34K,-2.65%
19/06/2023,"755,000.00","755,000.00","755,000.00","750,000.00",1.28K,0.00%
16/06/2023,"755,000.00","745,100.00","760,000.00","745,100.00",1.39K,-1.31%
15/06/2023,"765,000.00","741,000.00","765,000.00","741,000.00",1.85K,0.00%
14/06/2023,"765,000.00","740,000.00","765,000.00","740,000.00",1.75K,0.66%
13/06/2023,"760,000.00","760,000.00","760,000.00","760,000.00",0.10K,2.70%
12/6/2023,"740,000.00","750,000.00","780,000.00","740,000.00",0.92K,-5.13%
9/6/2023,"780,000.00","780,000.00","780,000.00","780,000.00",0.20K,1.30%
8/6/2023,"770,000.00","780,000.00","780,000.00","770,000.00",1.55K,2.67%
7/6/2023,"750,000.00","770,000.00","780,000.00","750,000.00",0.90K,-1.32%
6/6/2023,"760,000.00","760,000.00","760,000.00","760,000.00",0.10K,-2.44%
5/6/2023,"779,000.00","779,000.00","779,000.00","779,000.00",0.80K,0.39%
2/6/2023,"776,000.00","780,000.00","786,000.00","772,000.00",8.58K,4.86%
26/05/2023,"740,000.00","750,000.00","795,000.00","740,000.00",5.72K,0.00%
24/05/2023,"740,000.00","768,000.00","769,000.00","740,000.00",0.52K,-3.65%
23/05/2023,"768,000.00","768,000.00","768,000.00","768,000.00",0.15K,-4.00%
22/05/2023,"800,000.00","790,000.00","800,000.00","770,000.00",0.36K,1.27%
19/05/2023,"790,000.00","782,000.00","790,000.00","782,000.00",0.73K,1.28%
18/05/2023,"780,000.00","800,000.00","800,000.00","780,000.00",0.44K,0.00%
16/05/2023,"780,000.00","800,000.00","800,000.00","780,000.00",1.52K,-2.50%
15/05/2023,"800,000.00","799,000.00","800,000.00","799,000.00",0.20K,-0.12%
12/5/2023,"801,000.00","801,000.00","801,000.00","801,000.00",0.11K,4.56%
11/5/2023,"766,100.00","768,000.00","772,000.00","766,100.00",0.51K,-5.42%
10/5/2023,"810,000.00","798,000.00","813,000.00","750,000.00",0.60K,0.00%
9/5/2023,"810,000.00","800,000.00","810,000.00","800,000.00",0.24K,0.00%
8/5/2023,"810,000.00","740,000.00","810,000.00","740,000.00",2.10K,8.00%
5/5/2023,"750,000.00","732,000.00","750,000.00","730,000.00",0.31K,-5.06%
4/5/2023,"790,000.00","790,000.00","790,000.00","790,000.00",0.12K,-4.69%
28/04/2023,"828,900.00","837,000.00","838,000.00","828,900.00",0.50K,9.07%
27/04/2023,"760,000.00","760,000.00","760,000.00","760,000.00",0.10K,-8.98%
25/04/2023,"835,000.00","849,000.00","849,000.00","835,000.00",0.20K,-2.34%
24/04/2023,"855,000.00","810,000.00","855,000.00","800,000.00",2.31K,2.27%
21/04/2023,"836,000.00","836,000.00","850,000.00","836,000.00",0.51K,-1.65%
20/04/2023,"850,000.00","838,000.00","890,000.00","838,000.00",1.01K,3.91%
19/04/2023,"818,000.00","820,000.00","820,000.00","818,000.00",0.31K,-3.31%
18/04/2023,"846,000.00","800,000.00","846,000.00","800,000.00",1.83K,9.16%
17/04/2023,"775,000.00","770,000.00","775,000.00","770,000.00",0.25K,-0.64%
14/04/2023,"780,000.00","768,000.00","780,000.00","751,000.00",0.34K,-2.50%
13/04/2023,"800,000.00","670,000.00","800,000.00","670,000.00",0.51K,0.63%
12/4/2023,"795,000.00","788,000.00","795,000.00","780,000.00",0.60K,0.63%
11/4/2023,"790,000.00","788,000.00","790,000.00","788,000.00",0.22K,6.04%
10/4/2023,"745,000.00","721,000.00","745,000.00","721,000.00",0.40K,-11.31%
7/4/2023,"840,000.00","840,000.00","840,000.00","840,000.00",0.16K,1.20%
6/4/2023,"830,000.00","790,000.00","830,000.00","790,000.00",0.41K,10.67%
5/4/2023,"750,000.00","750,000.00","750,000.00","750,000.00",0.10K,0.13%
4/4/2023,"749,000.00","730,000.00","749,000.00","730,000.00",0.40K,0.40%
3/4/2023,"746,000.00","750,000.00","750,000.00","710,000.00",0.41K,-0.53%
31/03/2023,"750,000.00","744,000.00","750,000.00","744,000.00",0.30K,0.81%
30/03/2023,"744,000.00","744,000.00","744,000.00","744,000.00",0.40K,-5.57%
29/03/2023,"787,900.00","700,000.00","787,900.00","700,000.00",0.21K,13.48%
28/03/2023,"694,300.00","681,000.00","700,000.00","681,000.00",1.01K,-5.64%
27/03/2023,"735,800.00","800,000.00","805,000.00","735,700.00",3.08K,-14.94%
24/03/2023,"865,000.00","866,000.00","866,000.00","865,000.00",0.22K,-1.14%
23/03/2023,"875,000.00","880,000.00","880,000.00","875,000.00",0.51K,-1.57%
22/03/2023,"889,000.00","885,000.00","889,000.00","850,000.00",0.30K,-0.67%
21/03/2023,"895,000.00","890,000.00","895,000.00","890,000.00",0.32K,1.13%
20/03/2023,"885,000.00","890,000.00","890,000.00","885,000.00",0.35K,0.57%
17/03/2023,"880,000.00","880,000.00","880,000.00","880,000.00",0.21K,-1.12%
16/03/2023,"890,000.00","890,000.00","890,000.00","890,000.00",0.31K,-0.56%
15/03/2023,"895,000.00","888,000.00","895,000.00","888,000.00",0.22K,0.79%
14/03/2023,"888,000.00","895,000.00","895,000.00","888,000.00",0.84K,-1.33%
13/03/2023,"900,000.00","888,000.00","900,000.00","888,000.00",1.51K,0.00%
10/3/2023,"900,000.00","900,000.00","900,000.00","900,000.00",0.11K,0.00%
9/3/2023,"900,000.00","900,000.00","900,000.00","900,000.00",0.35K,-0.88%
8/3/2023,"908,000.00","908,000.00","908,000.00","908,000.00",0.15K,2.25%
7/3/2023,"888,000.00","918,000.00","918,000.00","888,000.00",0.46K,-4.00%
6/3/2023,"925,000.00","925,000.00","925,000.00","925,000.00",0.12K,2.78%
3/3/2023,"900,000.00","919,900.00","920,000.00","900,000.00",0.71K,0.00%
2/3/2023,"900,000.00","919,000.00","929,000.00","900,000.00",0.78K,0.00%
1/3/2023,"900,000.00","898,000.00","900,000.00","898,000.00",0.72K,-2.60%
28/02/2023,"924,000.00","871,000.00","924,000.00","871,000.00",0.72K,4.05%
27/02/2023,"888,000.00","888,000.00","888,000.00","880,000.00",0.58K,-0.22%
24/02/2023,"890,000.00","920,000.00","930,000.00","890,000.00",2.03K,-8.25%
23/02/2023,"970,000.00","989,900.00","989,900.00","930,000.00",1.34K,2.11%
22/02/2023,"950,000.00","930,000.00","1,065,000.00","930,000.00",2.70K,4.05%
21/02/2023,"913,000.00","900,000.00","990,000.00","889,500.00",7.26K,-12.75%
20/02/2023,"1,046,400.00","1,046,400.00","1,046,500.00","1,046,400.00",6.06K,-14.19%
17/02/2023,"1,219,500.00","1,250,000.00","1,250,000.00","1,219,500.00",1.18K,-6.19%
16/02/2023,"1,300,000.00","1,562,500.00","1,562,500.00","1,296,200.00",11.23K,-4.32%
15/02/2023,"1,358,700.00","1,358,700.00","1,358,700.00","1,358,700.00",5.58K,15.00%
14/02/2023,"1,181,500.00","1,181,500.00","1,181,500.00","1,181,500.00",5.61K,15.00%
13/02/2023,"1,027,400.00","1,027,400.00","1,027,400.00","1,027,400.00",6.24K,15.00%
10/2/2023,"893,400.00","893,400.00","893,400.00","893,400.00",0.30K,15.00%
9/2/2023,"776,900.00","776,900.00","776,900.00","776,900.00",0.10K,14.99%
8/2/2023,"675,600.00","675,600.00","675,600.00","675,600.00",0.10K,15.00%
7/2/2023,"587,500.00","587,500.00","587,500.00","587,500.00",0.10K,14.99%
6/2/2023,"510,900.00","510,900.00","510,900.00","510,900.00",0.10K,14.99%
3/2/2023,"444,300.00","444,300.00","444,300.00","444,300.00",0.10K,14.98%
2/2/2023,"386,400.00","386,400.00","386,400.00","386,400.00",0.10K,15.00%
